Filename	Lambda
MVP_R4.1000G_AGR.Phe_250_2.EUR.GIA.dbGaP.txt.gz	1.909
MVP_R4.1000G_AGR.Phe_250.EUR.GIA.dbGaP.txt.gz	1.878
MVP_R4.1000G_AGR.Phe_278_1.EUR.GIA.dbGaP.txt.gz	1.666
MVP_R4.1000G_AGR.Phe_401_1.EUR.GIA.dbGaP.txt.gz	1.582
MVP_R4.1000G_AGR.Phe_411.EUR.GIA.dbGaP.txt.gz	1.571
MVP_R4.1000G_AGR.Phe_278.EUR.GIA.dbGaP.txt.gz	1.565
MVP_R4.1000G_AGR.Phe_401.EUR.GIA.dbGaP.txt.gz	1.562
MVP_R4.1000G_AGR.Phe_411_4.EUR.GIA.dbGaP.txt.gz	1.56
MVP_R4.1000G_AGR.Phe_250_24.EUR.GIA.dbGaP.txt.gz	1.499
MVP_R4.1000G_AGR.Phe_530_1.EUR.GIA.dbGaP.txt.gz	1.489
MVP_R4.1000G_AGR.Phe_411_8.EUR.GIA.dbGaP.txt.gz	1.474
MVP_R4.1000G_AGR.Phe_530.EUR.GIA.dbGaP.txt.gz	1.471
MVP_R4.1000G_AGR.Phe_530_11.EUR.GIA.dbGaP.txt.gz	1.467
MVP_R4.1000G_AGR.Phe_496.EUR.GIA.dbGaP.txt.gz	1.465
MVP_R4.1000G_AGR.Phe_327_3.EUR.GIA.dbGaP.txt.gz	1.439
MVP_R4.1000G_AGR.Phe_278_11.EUR.GIA.dbGaP.txt.gz	1.437
MVP_R4.1000G_AGR.Phe_365.EUR.GIA.dbGaP.txt.gz	1.434
MVP_R4.1000G_AGR.Phe_760.EUR.GIA.dbGaP.txt.gz	1.418
MVP_R4.1000G_AGR.Phe_418.EUR.GIA.dbGaP.txt.gz	1.415
MVP_R4.1000G_AGR.Phe_740_9.EUR.GIA.dbGaP.txt.gz	1.408
MVP_R4.1000G_AGR.Phe_427_21.EUR.GIA.dbGaP.txt.gz	1.407
MVP_R4.1000G_AGR.Phe_740.EUR.GIA.dbGaP.txt.gz	1.406
MVP_R4.1000G_AGR.Phe_272_1.EUR.GIA.dbGaP.txt.gz	1.388
MVP_R4.1000G_AGR.Phe_585.EUR.GIA.dbGaP.txt.gz	1.387
MVP_R4.1000G_AGR.Phe_327_32.EUR.GIA.dbGaP.txt.gz	1.375
MVP_R4.1000G_AGR.Phe_389_1.EUR.GIA.dbGaP.txt.gz	1.372
MVP_R4.1000G_AGR.Phe_365_1.EUR.GIA.dbGaP.txt.gz	1.37
MVP_R4.1000G_AGR.Phe_272.EUR.GIA.dbGaP.txt.gz	1.368
MVP_R4.1000G_AGR.Phe_244_4.EUR.GIA.dbGaP.txt.gz	1.358
MVP_R4.1000G_AGR.Phe_244.EUR.GIA.dbGaP.txt.gz	1.358
MVP_R4.1000G_AGR.Phe_274.EUR.GIA.dbGaP.txt.gz	1.355
MVP_R4.1000G_AGR.Phe_274_1.EUR.GIA.dbGaP.txt.gz	1.351
MVP_R4.1000G_AGR.Phe_512.EUR.GIA.dbGaP.txt.gz	1.344
MVP_R4.1000G_AGR.Phe_428.EUR.GIA.dbGaP.txt.gz	1.331
MVP_R4.1000G_AGR.Phe_250_7.EUR.GIA.dbGaP.txt.gz	1.322
MVP_R4.1000G_AGR.Phe_389.EUR.GIA.dbGaP.txt.gz	1.32
MVP_R4.1000G_AGR.Phe_250_23.EUR.GIA.dbGaP.txt.gz	1.32
MVP_R4.1000G_AGR.Phe_185.EUR.GIA.dbGaP.txt.gz	1.316
MVP_R4.1000G_AGR.Phe_796.EUR.GIA.dbGaP.txt.gz	1.313
MVP_R4.1000G_AGR.Phe_512_7.EUR.GIA.dbGaP.txt.gz	1.313
MVP_R4.1000G_AGR.Phe_782_3.EUR.GIA.dbGaP.txt.gz	1.312
MVP_R4.1000G_AGR.Phe_594.EUR.GIA.dbGaP.txt.gz	1.309
MVP_R4.1000G_AGR.Phe_745.EUR.GIA.dbGaP.txt.gz	1.305
MVP_R4.1000G_AGR.Phe_427.EUR.GIA.dbGaP.txt.gz	1.304
MVP_R4.1000G_AGR.Phe_722.EUR.GIA.dbGaP.txt.gz	1.302
MVP_R4.1000G_AGR.Phe_562.EUR.GIA.dbGaP.txt.gz	1.297
MVP_R4.1000G_AGR.Phe_740_1.EUR.GIA.dbGaP.txt.gz	1.297
MVP_R4.1000G_AGR.Phe_585_3.EUR.GIA.dbGaP.txt.gz	1.297
MVP_R4.1000G_AGR.Phe_600.EUR.GIA.dbGaP.txt.gz	1.296
MVP_R4.1000G_AGR.Phe_367_1.EUR.GIA.dbGaP.txt.gz	1.296
MVP_R4.1000G_AGR.Phe_208.EUR.GIA.dbGaP.txt.gz	1.289
MVP_R4.1000G_AGR.Phe_785.EUR.GIA.dbGaP.txt.gz	1.287
MVP_R4.1000G_AGR.Phe_411_3.EUR.GIA.dbGaP.txt.gz	1.284
MVP_R4.1000G_AGR.Phe_401_2.EUR.GIA.dbGaP.txt.gz	1.282
MVP_R4.1000G_AGR.Phe_428_1.EUR.GIA.dbGaP.txt.gz	1.276
MVP_R4.1000G_AGR.Phe_721.EUR.GIA.dbGaP.txt.gz	1.276
MVP_R4.1000G_AGR.Phe_411_2.EUR.GIA.dbGaP.txt.gz	1.275
MVP_R4.1000G_AGR.Phe_761.EUR.GIA.dbGaP.txt.gz	1.275
MVP_R4.1000G_AGR.Phe_338.EUR.GIA.dbGaP.txt.gz	1.274
MVP_R4.1000G_AGR.Phe_476.EUR.GIA.dbGaP.txt.gz	1.27
MVP_R4.1000G_AGR.Phe_720.EUR.GIA.dbGaP.txt.gz	1.27
MVP_R4.1000G_AGR.Phe_285.EUR.GIA.dbGaP.txt.gz	1.269
MVP_R4.1000G_AGR.Phe_327.EUR.GIA.dbGaP.txt.gz	1.265
